Genes	Uniprot	Protein	Color	0_point	30_seconds	5_minutes	30_minutes
RPL6	Q02878	60S ribosomal protein L6	grey	0.911126910771418	0.781707050862257	0.625398014609477	0.399309205586424
FMR1	Q06787	Synaptic functional regulator FMR1	grey	0.973431106860088	0.834302662756209	0.492844029252756	0.175937371240214
PRDX1	Q06830	Peroxiredoxin-1	grey	0.721363091755134	0.731175569235732	0.47135539191068	0.252185487911578
RPL18	Q07020	60S ribosomal protein L18	grey	0.940635203324429	0.921960355860777	0.77222513267886	0.513168784382455
SRSF1	Q07955	Serine/arginine-rich splicing factor 1	grey	0.976258309591643	0.670108534292218	0.294885806756404	0.0807336480901322
SRSF4	Q08170	Serine/arginine-rich splicing factor 4	grey	0.895744281573844	0.770610634490985	0.450005499945001	0.178988678253873
DHX9	Q08211	ATP-dependent RNA helicase A	grey	0.905275222840038	0.836411523172308	0.669060462653473	0.370185858153259
NCBP1	Q09161	Nuclear cap-binding protein subunit 1	grey	0.917783441585135	0.881453381542292	0.771793701506162	0.562229129273738
SF3A3	Q12874	Splicing factor 3A subunit 3	grey	0.879366917583478	0.870889442629724	0.798841326037979	0.510906778832045
ILF3	Q12906	Interleukin enhancer-binding factor 3	grey	0.561461211244135	0.754619291831276	0.511551799931617	0.313813618054936
ELAVL4, ELAVL2	P26378, Q12926	ELAV-like protein 4, ELAV-like protein 2	grey	0.732920249986646	0.793524942186984	0.759355071591866	0.395149095747898
IK	Q13123	Protein Red	grey	0.91918538871828	0.824871718533826	0.768673806935159	0.464108678759948
SRSF9	Q13242	Serine/arginine-rich splicing factor 9	grey	0.974845298586306	0.66521593572146	0.299984599661193	0.0759461387485354
SRSF5	Q13243	Serine/arginine-rich splicing factor 5	grey	0.816597890875745	0.697994684706451	0.607781612802008	0.425762587284087
SRSF6	Q13247	Serine/arginine-rich splicing factor 6	grey	0.910801890999911	0.713352060998681	0.388618522413245	0.123214645822556
PPIG	Q13427	Peptidyl-prolyl cis-trans isomerase G	grey	0.903736932288558	0.678807734309758	0.383328913857216	0.140797511749594
DDX39A	O00148	ATP-dependent RNA helicase DDX39A	grey	0.967573527027465	0.846698655547209	0.720459564476001	0.432008588030149
SF3B2	Q13435	Splicing factor 3B subunit 2	grey	0.889087299386653	0.886644448978666	0.775553261211115	0.55048098534568
SNW1	Q13573	SNW domain-containing protein 1	grey	0.854695514450531	0.845945279763372	0.740623541007418	0.504508968387672
TRA2A	Q13595	Transformer-2 protein homolog alpha	grey	0.976646972279956	0.866698658988509	0.636323962614103	0.320102528538696
DDX39B	Q13838	Spliceosome RNA helicase DDX39B	grey	0.911863211704566	0.860838586676686	0.731341679651819	0.45362058320539
HNRNPD	Q14103	Heterogeneous nuclear ribonucleoprotein D0	grey	0.890641062094005	0.674479166666667	0.377807643010913	0.149941771011314
SAFB2	Q14151	Scaffold attachment factor B2	grey	0.905917772132844	0.651689306861721	0.401802965860895	0.207154636559685
RBM39	Q14498	RNA-binding protein 39	grey	0.911087401084734	0.809893159955895	0.61712229114021	0.361312120379892
EFTUD2	Q15029	116 kDa U5 small nuclear ribonucleoprotein component	grey	0.916534512978883	0.869952532674426	0.77711407301743	0.549590127015584
RRS1	Q15050	Ribosome biogenesis regulatory protein homolog	grey	0.824422789921868	0.812986235786954	0.677606551034883	0.412897468413884
STK38	Q15208	Serine/threonine-protein kinase 38	grey	0.912709497206704	0.83904715918236	0.485199485199485	0.193229582657663
PWP2	Q15269	Periodic tryptophan protein 2 homolog	grey	0.409395338948015	0.0966168300284566	0.367096619030139	0.253558659092775
RNPS1	Q15287	RNA-binding protein with serine-rich domain 1	grey	0.912869216694258	0.74717467701565	0.476110645431685	0.184884498133385
PCBP1	Q15365	Poly(rC)-binding protein 1	grey	0.845038120622327	0.867889132560044	0.690018598884067	0.383777321772996
PCBP2	Q15366	Poly(rC)-binding protein 2	grey	0.919536530415191	0.812079527943774	0.605662683859774	0.34015611906223
SF3B3	Q15393	Splicing factor 3B subunit 3	grey	0.922606609395558	0.926756024317	0.797795976139925	0.580325667282189
SAFB	Q15424	Scaffold attachment factor B1	grey	0.924749793061931	0.613586305498667	0.372052571758692	0.213589178987103
SF3A2	Q15428	Splicing factor 3A subunit 2	grey	0.853454087165509	0.848257234336353	0.774860976653083	0.599198396793587
SF3A1	Q15459	Splicing factor 3A subunit 1	grey	0.927541482501268	0.932023655767793	0.795400605614207	0.538084899995381
ELAVL1	Q15717	ELAV-like protein 1	grey	0.909297052154195	0.746405295057439	0.476017312387999	0.161917532685216
SRSF7	Q16629	Serine/arginine-rich splicing factor 7	grey	0.977477984730074	0.787405927122752	0.412373072583678	0.103854322558675
PFKFB3	Q16875	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	grey	0.589575210342705	0.695391269913796	0.516978215717529	0.179325569753223
HNRNPUL2-BSCL2, HNRNPUL2	H3BQZ7, Q1KMD3	HCG2044799, Heterogeneous nuclear ribonucleoprotein U-like protein 2	grey	0.891184887757212	0.581397295826531	0.237636367794711	0.105049311782921
SMU1	Q2TAY7	WD40 repeat-containing protein SMU1	grey	0.993159586839045	0.887980284530077	0.767506742304473	0.545454545454545
NCBP3	Q53F19	Nuclear cap-binding protein subunit 3	grey	0.91296022282183	0.85315280918676	0.713639357406718	0.437677834384876
ZNF326	Q5BKZ1	DBIRD complex subunit ZNF326	grey	0.829824889811616	0.697281588666223	0.478976710258949	0.258402301919255
IGF2BP3	O00425	Insulin-like growth factor 2 mRNA-binding protein 3	grey	0.916569330886034	0.856768408840254	0.734438070958148	0.504705299653294
PRPF8	Q6P2Q9	Pre-mRNA-processing-splicing factor 8	grey	0.923634975181367	0.888189451792882	0.787609115816749	0.558284376518397
PES1	O00541	Pescadillo homolog	grey	0.970329050826336	0.864912328100937	0.642793355956421	0.384274367341913
ZC3H14	Q6PJT7	Zinc finger CCCH domain-containing protein 14	grey	0.879843796936017	0.798012442433546	0.575155068400034	0.255048906039319
LARP1	Q6PKG0	La-related protein 1	grey	0.880385636707256	0.834181769943788	0.709124756391983	0.387202333533514
HIST3H3, H3F3C, HIST2H3A;	Q16695, Q6NXT2, Q71DI3	Histone H3.1t, Histone H3.3C, Histone H3.2	grey	0.958693048039985	0.862361329039007	0.727654011656408	0.477525771041343
DHX30	Q7L2E3	Putative ATP-dependent RNA helicase DHX30	grey	0.885844748858448	0.635913493045948	0.641049571054237	0.287378765312449
NOP56	O00567	Nucleolar protein 56	grey	0.880801964383627	0.860883113992376	0.688473520249221	0.398097989647285
HDX	Q7Z353	Highly divergent homeobox	grey	0.927388905024688	0.840815027061445	0.587764861076758	0.290110529790512
DDX3X	O00571	ATP-dependent RNA helicase DDX3X	grey	0.942459289947638	0.81352676823242	0.521485309599005	0.183160027119087
PABPN1	Q86U42	Polyadenylate-binding protein 2	grey	0.890129208051332	0.558323395609735	0.115412173697666	0.022038365434924
ALYREF	Q86V81	THO complex subunit 4	grey	0.975398543593781	0.611861512187549	0.240421717862243	0.0548329228157661
RBM12B	Q8IXT5	RNA-binding protein 12B	grey	0.906765991963229	0.875533649477864	0.62289765442341	0.319014477752203
KRI1	Q8N9T8	Protein KRI1 homolog	grey	0.452669604006459	0.851327644137849	0.689980158730159	0.231950844854071
PRPF38A	Q8NAV1	Pre-mRNA-splicing factor 38A	grey	0.918923301443165	0.890539312805806	0.749159684944564	0.613854886666409
PPHLN1	Q8NEY8	Periphilin-1	grey	0.906328449923189	0.775290998157386	0.562401540346578	0.281609195402299
WDR36	Q8NI36	WD repeat-containing protein 36	grey	0.345056816321184	0.864452727888851	0.677689679623541	0.412041392285983
BRIX1	Q8TDN6	Ribosome biogenesis protein BRX1 homolog	grey	0.913562105627107	0.818132217877603	0.736210398586088	0.464312498660781
CHD1	O14646	Chromodomain-helicase-DNA-binding protein 1	grey	0.861097606711764	0.520498681371374	0.274136767150334	0.117597748109453
PRMT5	O14744	Protein arginine N-methyltransferase 5	grey	0.908587308261879	0.777004727499777	0.550278827127181	0.257173843605381
DDX17	Q92841	Probable ATP-dependent RNA helicase DDX17	grey	0.883916652156248	0.841156381542371	0.564459930313589	0.217025008221237
SNRNP40	Q96DI7	U5 small nuclear ribonucleoprotein 40 kDa protein	grey	0.931020211078154	0.926318891836133	0.787360721272434	0.542459736456808
RBMXL1	Q96E39	RNA binding motif protein, X-linked-like-1	grey	0.893807941042169	0.463116074304735	0.222582425698315	0.165463543274888
PGAM5	Q96HS1	Serine/threonine-protein phosphatase PGAM5, mitochondrial	grey	0.877101563268115	0.845983242976836	0.611665566385771	0.329232709296164
YTHDC1	Q96MU7	YTH domain-containing protein 1	grey	0.87683819001404	0.71808750563825	0.418885072900868	0.183840032646399
RBM14	Q96PK6	RNA-binding protein 14	grey	0.622968744108887	0.688386151880589	0.467918123240804	0.242171632968565
FYTTD1	Q96QD9	UAP56-interacting factor	grey	0.916756846749355	0.858310781132664	0.713162952126897	0.402853167565373
SPEN	Q96T58	Msx2-interacting protein	grey	0.934473494528537	0.816227143250942	0.617649307945247	0.198216834239348
CDC5L	Q99459	Cell division cycle 5-like protein	grey	0.88673175814965	0.863721228144292	0.74368175526734	0.470594152183005
HNRNPAB	Q99729	Heterogeneous nuclear ribonucleoprotein A/B	grey	0.883330222139257	0.611951882033372	0.285903011347001	0.0953419155230281
PRMT1	Q99873	Protein arginine N-methyltransferase 1	grey	0.904563760951308	0.727014632015724	0.44956047403852	0.17697505411389
WDR77	Q9BQA1	Methylosome protein 50	grey	0.950472983012233	0.849834066643641	0.582184340269073	0.290925979763027
MMTAG2	Q9BU76	Multiple myeloma tumor-associated protein 2	grey	0.873473777440374	0.7749977499775	0.543733175160834	0.292956431975338
HNRNPUL1	Q9BUJ2	Heterogeneous nuclear ribonucleoprotein U-like protein 1	grey	0.881968296684489	0.86152077880714	0.708802888675344	0.392573604893427
U2SURP	O15042	U2 snRNP-associated SURP motif-containing protein	grey	0.583420120808165	0.73871237458194	0.505440158259149	0.295948181786179
GNL3	Q9BVP2	Guanine nucleotide-binding protein-like 3	grey	0.67478617190803	0.712139094389591	0.556875083085922	0.249581641765284
GTPBP4	Q9BZE4	Nucleolar GTP-binding protein 1	grey	0.511504078940941	0.801192842942346	0.748351703658966	0.37980265320425
CRNKL1	Q9BZJ0	Crooked neck-like protein 1	grey	0.896832765913546	0.840797287185774	0.755823606973678	0.488197842242103
MKRN2	Q9H000	Probable E3 ubiquitin-protein ligase makorin-2	grey	0.918460534898891	0.751373660525596	0.455797121166771	0.265704739875904
NAT10	Q9H0A0	RNA cytidine acetyltransferase	grey	0.859879215884092	0.7686256362795	0.775311193996315	0.496335843259714
PNN	Q9H307	Pinin	grey	0.910418346322673	0.825525604117596	0.56691208315288	0.227005341393091
SCAF1	Q9H7N4	Splicing factor, arginine/serine-rich 19	grey	0.966490181623216	0.863348774921767	0.618437118437118	0.278124278124278
NOL11	Q9H8H0	Nucleolar protein 11	grey	0.755907049404413	0.734275768607339	0.635448944624695	0.369598244961514
CLK4	Q9HAZ1	Dual specificity protein kinase CLK4	grey	0.897383273473576	0.52658239833357	0.249401397614598	0.137470027083441
NCOA5	Q9HCD5	Nuclear receptor coactivator 5	grey	0.864632545043521	0.744741678578722	0.418580988761171	0.138005344366865
CWC22	Q9HCG8	Pre-mRNA-splicing factor CWC22 homolog	grey	0.800661802814655	0.900874288773022	0.820318395802638	0.577880962431406
XAB2	Q9HCS7	Pre-mRNA-splicing factor SYF1	grey	0.924368476781122	0.880090172190513	0.775235440875683	0.524511435499976
WDR6	Q9NNW5	WD repeat-containing protein 6	grey	0.831856472685084	0.825339714255772	0.676218228913712	0.521187455111324
DDX21	Q9NR30	Nucleolar RNA helicase 2	grey	0.881642797964256	0.81324468681134	0.641397116832819	0.321320709898537
RBM22	Q9NW64	Pre-mRNA-splicing factor RBM22	grey	0.936240754909462	0.877459990686959	0.794699131577327	0.561960664067633
SLTM	Q9NWH9	SAFB-like transcription modulator	grey	0.853976227329809	0.684632123371913	0.414122003234047	0.209698579038045
BCLAF1	Q9NYF8	Bcl-2-associated transcription factor 1	grey	0.914449482419369	0.808363037062589	0.440853481246226	0.134364017243469
IGF2BP1	Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1	grey	0.920540325784664	0.860537766372866	0.718412975530088	0.466538635939292
PHRF1	Q9P1Y6	PHD and RING finger domain-containing protein 1	grey	0.948971781395111	0.798776561493883	0.495048955003812	0.167547678706702
DHX15	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	grey	0.867526858929352	0.798521145205811	0.610136452241715	0.301822243943308
DDX41	Q9UJV9	Probable ATP-dependent RNA helicase DDX41	grey	0.732727515702258	0.69695133038366	0.697208260158663	0.390414883630201
RALY	Q9UKM9	RNA-binding protein Raly	grey	0.95137842174357	0.906537688677041	0.730907916689091	0.483033147914556
ACIN1	Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus	grey	0.977180411665374	0.658831155538876	0.315377979817343	0.0926824842353582
PRPF19	Q9UMS4	Pre-mRNA-processing factor 19	grey	0.913344887348354	0.900938116041091	0.790895594170169	0.516300667505079
SRRM2	Q9UQ35	Serine/arginine repetitive matrix protein 2	grey	0.739420471127788	0.856280540385168	0.634195412810477	0.290770081845133
STK38L	Q9Y2H1	Serine/threonine-protein kinase 38-like	grey	0.881182942623243	0.656616990591306	0.221353598903666	0.176663345875495
THRAP3	Q9Y2W1	Thyroid hormone receptor-associated protein 3	grey	0.976099426386233	0.828332074435213	0.449481687008318	0.136740331491713
NOP58	Q9Y2X3	Nucleolar protein 58	grey	0.918433931484502	0.853176525862955	0.6747544396019	0.379560232292649
RPL36	Q9Y3U8	60S ribosomal protein L36	grey	0.912679008033531	0.858960254999859	0.770215308256164	0.439684878775823
CCDC9	Q9Y3X0	Coiled-coil domain-containing protein 9	grey	0.908368687747977	0.820450668821259	0.571017974346875	0.187229753893169
CHTOP	Q9Y3Y2	Chromatin target of PRMT1 protein	grey	0.907303553054811	0.842660918545558	0.636812667974141	0.260644865548269
HNRNPR	O43390	Heterogeneous nuclear ribonucleoprotein R	grey	0.880722345475799	0.673831501353599	0.392625255856611	0.187368455268697
RBM8A	Q9Y5S9	RNA-binding protein 8A	grey	0.941009910335064	0.902785203908035	0.746488870861431	0.508889107160397
IGF2BP2	Q9Y6M1	Insulin-like growth factor 2 mRNA-binding protein 2	grey	0.383606395700038	0.811743443965436	0.773601992302468	0.505757920229328
PLRG1	O43660	Pleiotropic regulator 1	grey	0.887170113619696	0.866994746292479	0.739447628973424	0.494032108722381
RRP9	O43818	U3 small nucleolar RNA-interacting protein 2	grey	0.767263248539577	0.741541960662686	0.807544264819092	0.433851170795779
AQR	O60306	Intron-binding protein aquarius	grey	0.879992319508449	0.901809648183969	0.79685532035916	0.496287639906108
CDC40	O60508	Pre-mRNA-processing factor 17	grey	0.920394841585735	0.879986558494551	0.758296473545549	0.499394267063146
HIST1H2BK, H2BFS, HIST1H2BD, HIST1H2BC, HIST2H2BF, HIST1H2BH, HIST1H2BA, HIST1H2BN, HIST1H2BM, HIST1H2BL	O60814, P57053, P58876, P62807, Q5QNW6, Q93079, Q96A08, Q99877, Q99879, Q99880	Histone H2B type 1-K, Histone H2B type F-S, Histone H2B type 1-D, Histone H2B type 1-C/E/F/G/I, Histone H2B type 2-F, Histone H2B type 1-H, Histone H2B type 1-A, Histone H2B type 1-N, Histone H2B type 1-M, Histone H2B type 1-L	grey	0.903378841898799	0.835658761853112	0.678910865656306	0.379868035918043
DKC1	O60832	H/ACA ribonucleoprotein complex subunit 4	grey	0.859938092636946	0.795885042455911	0.7610513739546	0.395781345353256
ZC3H11A	O75152	Zinc finger CCCH domain-containing protein 11A	grey	0.886004810596993	0.754667451730821	0.436518132846485	0.128616242593238
H2AFY	O75367	Core histone macro-H2A.1	grey	0.895234203937099	0.878200287447322	0.671160802367642	0.463982289974861
SRSF10	O75494	Serine/arginine-rich splicing factor 10	grey	0.97644453866629	0.879992319508449	0.656061908856406	0.28830688207245
SF3B1	O75533	Splicing factor 3B subunit 1	grey	0.909918025403117	0.882853226807868	0.771699922377974	0.54429456799125
SNRNP200	O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase	grey	0.910602538887896	0.886214939978381	0.763582202468202	0.553232363847563
PRPF6	O94906	Pre-mRNA-processing factor 6	grey	0.830217830523438	0.81178950538282	0.691805097543687	0.538426032771752
GAPDH	P04406	Glyceraldehyde-3-phosphate dehydrogenase	grey	0.557443795362011	0.584924456251038	0.295089594112588	0.150988249677376
SLC25A5	P05141	ADP/ATP translocase 2	grey	0.902027060125993	0.871618759066925	0.695511844589245	0.37298964805909
RPLP0, RPLP0P6	P05388, Q8NHW5	60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like	grey	0.910952804986643	0.86627261664371	0.751386022922209	0.475330017419043
HNRNPC	P07910	Heterogeneous nuclear ribonucleoproteins C1/C2	grey	0.921191583261092	0.874729101682388	0.729188105941613	0.425125466366965
SNRPB2	P08579	U2 small nuclear ribonucleoprotein B''	grey	0.904958324225173	0.843891473352275	0.743135290642419	0.551126672053147
SNRNP70	P08621	U1 small nuclear ribonucleoprotein 70 kDa	grey	0.998241727327074	0.867937983677135	0.638349426783841	0.299003182525551
VIM	P08670	Vimentin	grey	0.916645828123698	0.840832762984067	0.67844625229107	0.397485102819167
RPSA	P08865	40S ribosomal protein SA	grey	0.745831638877593	0.898783376181704	0.78573877271169	0.481752505726635
HNRNPA1, HNRNPA1L2	P09651, Q32P51	Heterogeneous nuclear ribonucleoprotein A1, Heterogeneous nuclear ribonucleoprotein A1-like 2	grey	0.690421645718531	0.593297543517163	0.337836048205536	0.0920151815061652
SNRPA1	P09661	U2 small nuclear ribonucleoprotein A'	grey	0.865491963144798	0.890191944481047	0.823664256744842	0.591903362716291
HIST1H3D, HIST1H2AG, HIST1H2AD, HIST1H2AH, HIST1H2AJ, H2AFJ	A0A0U1RRH7, P0C0S8, P20671, Q96KK5, Q99878, Q9BTM1	Histone H2A, Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A.J	grey	0.941921245208503	0.827633756205185	0.661945167506169	0.359352176921303
HSPA5	P11021	78 kDa glucose-regulated protein	grey	0.810763757474832	0.764855268417711	0.54429456799125	0.224240919739966
XRCC6	P12956	X-ray repair cross-complementing protein 6	grey	0.821485950944339	0.784505979959056	0.682469120121932	0.392599431473068
XRCC5	P13010	X-ray repair cross-complementing protein 5	grey	0.907297537822605	0.798460236204603	0.737491468472725	0.478783898592195
EEF2	P13639	Elongation factor 2	grey	0.779648318716672	0.776206248321547	0.648617309111353	0.317219718694524
PKM	P14618	Pyruvate kinase PKM	grey	0.589995899959	0.6309963099631	0.639132474468623	0.290286866048743
SNRPB, SNRPN	P14678, P63162	Small nuclear ribonucleoprotein-associated proteins B and B', Small nuclear ribonucleoprotein-associated protein N	grey	0.95254140762185	0.909362820629022	0.803153481230684	0.527164404936404
HNRNPL	P14866	Heterogeneous nuclear ribonucleoprotein L	grey	0.915354663958016	0.759493975324082	0.495140729521646	0.207594415125438
RPS2	P15880	40S ribosomal protein S2	grey	0.881399954931983	0.837617524316776	0.712849964106246	0.462556297227865
DDX5	P17844	Probable ATP-dependent RNA helicase DDX5	grey	0.884970207283686	0.784580254626139	0.601752289924333	0.264813997941479
RPL35A	P18077	60S ribosomal protein L35a	grey	0.885036328520188	0.874286576320619	0.744317455447317	0.474618835965493
RPL7	P18124	60S ribosomal protein L7	grey	0.919704512606392	0.808802722649229	0.655576220982297	0.402135571737753
SON	P18583	Protein SON	grey	0.896839151605183	0.883486548522027	0.683564331371432	0.39610973893824
RPL17-C18orf32, RPL17	A0A0A6YYL6, P18621	Protein RPL17-C18orf32, 60S ribosomal protein L17	grey	0.892116988337846	0.826719805926183	0.650947677056791	0.36390814833662
POLR2C	P19387	DNA-directed RNA polymerase II subunit RPB3	grey	0.88647844793334	0.783183730107107	0.479066278397399	0.230342959177391
TRIM21	P19474	E3 ubiquitin-protein ligase TRIM21	grey	0.85515852899002	0.81241793284562	0.540081865427954	0.260420672721356
CDK11B, CDK11A	P21127, Q9UQ88	Cyclin-dependent kinase 11B, Cyclin-dependent kinase 11A	grey	0.805326273166173	0.880428544097953	0.546094140075348	0.226790174049532
FBL	P22087	rRNA 2'-O-methyltransferase fibrillarin	grey	0.629684491186491	0.829575472502002	0.675672169428859	0.392990251423438
HNRNPA2B1	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1	grey	0.907970661046742	0.495718651349961	0.222552205619393	0.0679883834072108
RPS3	P23396	40S ribosomal protein S3	grey	0.942522128980343	0.827175002592375	0.736842105263158	0.473140713578217
POLR2A	P24928	DNA-directed RNA polymerase II subunit RPB1	grey	0.906153514081665	0.858290702452988	0.599583566909586	0.286855317206755
RPL13	P26373	60S ribosomal protein L13	grey	0.936912497634219	0.868197334950113	0.702761347085575	0.391690492122392
PTBP1	P26599	Polypyrimidine tract-binding protein 1	grey	0.816338524831031	0.679384418082719	0.555140353218559	0.241987811164004
RPL10	P27635	60S ribosomal protein L10	grey	0.986270337063225	0.815973500184026	0.536779692421716	0.267120075046904
RPL12	P30050	60S ribosomal protein L12	grey	0.903707270101107	0.877478007302311	0.759059367771781	0.463300487323158
POLR2B	P30876	DNA-directed RNA polymerase II subunit RPB2	grey	0.912518589799667	0.823315311495106	0.623054016359456	0.301475981251615
HNRNPH3	P31942	Heterogeneous nuclear ribonucleoprotein H3	grey	0.822644721906924	0.44220707504546	0.148298300003407	0.0792507310749195
HNRNPH1	P31943	Heterogeneous nuclear ribonucleoprotein H	grey	0.954300338177497	0.796051558166096	0.55007648699721	0.276526168048502
KRT2	P35908	Keratin, type II cytoskeletal 2 epidermal	grey	0.0374823618642812	0.0559545196649394	0.0335587074427577	0.0265186066366121
RPL4	P36578	60S ribosomal protein L4	grey	0.908679135008767	0.847929560972643	0.745300799755489	0.446676183836305
RBMX	P38159	RNA-binding motif protein, X chromosome	grey	0.916583249916583	0.192695508965116	0.0966249909662499	0.0537346255533287
HSPA9	P38646	Stress-70 protein, mitochondrial	grey	0.895873465435197	0.459713540118971	0.139940311857643	0.0887535789203188
EIF4A3	P38919	Eukaryotic initiation factor 4A-III	grey	0.915275777344743	0.87286411716843	0.748142551315955	0.498168314347368
RPL3	P39023	60S ribosomal protein L3	grey	0.923130140671843	0.852770130003975	0.742599742599743	0.453921932679496
RPL13A	P40429	60S ribosomal protein L13a	grey	0.917992455305888	0.848399860527872	0.741855542361506	0.435576727699636
MATR3	P43243	Matrin-3	grey	0.878580361587683	0.854267768402338	0.673916587863175	0.382464460829721
NOP2	P46087	Probable 28S rRNA	grey	0.759748216130505	0.849755100814327	0.727942976847947	0.408511519238163
RPL27A	P46776	60S ribosomal protein L27a	grey	0.985418489355497	0.537636397262808	0.334247633250336	0.175434545994261
RPL5	P46777	60S ribosomal protein L5	grey	0.879937567535118	0.883700645461418	0.759626941012451	0.449618034916232
RPL28	P46779	60S ribosomal protein L28	grey	0.776656095055166	0.588967898392864	0.563318777292576	0.376694611524917
RPS9	P46781	40S ribosomal protein S9	grey	0.921801689083516	0.701537084017311	0.509731823307349	0.240940626375795
RPS5	P46782	40S ribosomal protein S5	grey	0.882135238027887	0.570981166073191	0.813735168662805	0.524262607040913
RPL34	P49207	60S ribosomal protein L34	grey	0.894091356795628	0.836657356135966	0.721184408632131	0.479884534366629
CLK1	P49759	Dual specificity protein kinase CLK1	grey	0.908382119854511	0.432791460108223	0.202061872122436	0.0913964328223953
CLK2	P49760	Dual specificity protein kinase CLK2	grey	0.894496961512492	0.687314342891092	0.323254334555987	0.117916872486063
CLK3	P49761	Dual specificity protein kinase CLK3	grey	0.672614175806188	0.683834455721016	0.429705499920159	0.159713294175973
RPL14	P50914	60S ribosomal protein L14	grey	0.890025294182338	0.888627782913274	0.744715613193097	0.477137852605161
FXR1	P51114	Fragile X mental retardation syndrome-related protein 1	grey	0.888616618400535	0.749473895179878	0.427586878001591	0.155162800128415
FXR2	P51116	Fragile X mental retardation syndrome-related protein 2	grey	0.904876053497707	0.813596286838034	0.479125973383337	0.197740838200372
HNRNPM	P52272	Heterogeneous nuclear ribonucleoprotein M	grey	0.910128516221803	0.890510549308574	0.736537042891769	0.44583601179261
NCBP2	P52298	Nuclear cap-binding protein subunit 2	grey	0.908578951217728	0.864333197666531	0.77031031077015	0.602116738948792
HNRNPF	P52597	Heterogeneous nuclear ribonucleoprotein F	grey	0.914821124361158	0.812818209044624	0.64730363629951	0.352997884303082
MFAP1	P55081	Microfibrillar-associated protein 1	grey	0.73274894435833	0.800187823445961	0.737215535817523	0.508937340404636
HNRNPH2	P55795	Heterogeneous nuclear ribonucleoprotein H2	grey	0.930381509328878	0.814512538952367	0.562075760893365	0.275630020789418
